безопасность: безопасность
важный: важно
весь: всего
владение: Владения Владение владении
возможность: возможностях
глава: главе
глубокий: глубокие
данные: данные
заимствование: заимствовании
иметь: имеет
использование: использования
который: которая
мусор: мусора
мы: мы
несколько: нескольких
обеспечивать: обеспечивать
он: ним
особенность: особенность
память: памяти
поговорить: поговорим
позволять: позволяет
понимание: Понимание
понимать: понимать
последствие: последствия
поэтому: поэтому
работать: работает
раскладывать: раскладывает
самый: самая
сборщик: сборщика
связать: связанных
срез: срезах
также: также
тот: том
уникальный: уникальная
это: это
этот: этой
язык: языка
