адрес: адресам
англ: англ
более: более
быть: есть
версия: версии версия версию
вид: виде
визуализация: визуализации
вопрос: вопросы
вы: вы
выделение: выделение
выпустить: выпущен
глава: главы
доступный: доступна доступны доступен
другой: других другую другое
запустить: запустите
интерактивный: интерактивный
использовать: используете
клабник: Клабника
книга: книги
контрольный: контрольные
который: которой
кэрол: Кэрол
материал: материал
многое: многое
мягкий: мягкой
наглядный: наглядные
несколько: несколько
николс: Николс
новее: новее
обложка: обложке
обновление: обновления
обучение: обучения
она: её
онлайн: онлайн
открыть: открыть
офлайн: офлайн
перевод: переводов
печатный: печатной
поддержка: поддержке
помощь: помощью
попробовать: Попробуйте
предполагаться: предполагается
предпочитаете: Предпочитаете
программирование: программирования
процесс: процесс
раздел: раздел
рус: рус
см: См
сообщество: сообщества
стив: Стива
также: Также
установка: Установка установки установке
участник: участников
учебник: учебника
формат: формате
цветовой: цветовое
электронный: электронной
этот: этой Этот
язык: Язык
