ассоциированный: ассоциированного
ассоциировать: ассоциированные
атрибут: атрибуты
блок: блоками
ваш: вашей
вместе: вместе
возможность: возможность
воспользоваться: воспользоваться
время: время
вы: вы
глава: главе
группа: группу
группировка: группировки
давать: дают
данные: данных
знакомый: знакомы
знать: знаете
значение: значений
значимый: значимую
использование: Использование
когда: когда
компиляция: компиляции
кортеж: кортежи
логический: логическую
мера: мере
метод: методами
мы: мы
назвать: назвать
называть: называемые
несколько: несколько
новый: новых
область: области
обсудить: обсудим
обсуждать: обсуждаемые
объект: объекта
объектный: объектно
они: их Они
опираться: опираться
определить: определить
определять: определять
ориентированный: ориентированными
особенно: особенно
перечисление: перечисления
поведение: поведения
позволять: позволяющий
полный: полной
пользовательский: пользовательский
похожий: похожа
предметный: предметной
преимущество: преимуществами
проверка: проверки
программа: программы
продемонстрировать: продемонстрируем
связать: связанных
создавать: создавать
создание: создания
сопоставимый: сопоставим
составлять: составляющих
способ: способом
сравнимый: сравним
строительный: строительными
структура: структур Структура структурами структуры
структурирование: структурирования
тип: тип типом типов
тот: то
уже: уже
указание: указания
упаковать: упаковать
функция: функции
хороший: лучшим
экземпляр: экземпляры
это: это
этот: этой
являться: являются
язык: языками
