библиотека: библиотеки
бинарный: бинарных
более: более
большой: Больше
весь: всех
возможность: возможности возможностей
вы: вам
глава: главе
гораздо: гораздо
делать: делать
добавление: добавления
документация: документации
другой: другие
его: его
запуск: запуска
значительно: значительно
использовать: использовали
код: кода
команда: команд
крупный: крупными
мочь: может
мы: мы
настройка: Настройка
наш: нашего
некоторый: некоторые
обсудить: обсудим
он: он
описание: описание
основный: основные
показать: показать
полный: полное
помощь: помощью
пора: пор
продвинуть: продвинутые
проект: проектами
пространство: пространств
профиль: профилей
публикация: Публикация
рабочий: рабочих
рассмотреть: рассмотрим
расширение: Расширение
релизный: релизных
самый: самые
сборка: сборки
сей: сих
следующий: следующее
см: см
собственный: собственных
тестирование: тестирования
тот: того
управление: Управление
установка: Установка
файл: файлов
функция: функций
этот: этой
